"Camera","Camera_type","Site","Day","Date","Time","Number_of_bees_2min","LM_2min","HS_2min","Number_of_bees_4min","LM_4min","HS_4min","Number_of_bees_6min","LM_6min","HS_6min","Number_of_bees_8min","LM_8min","HS_8min","Number_of_bees_10min","LM_10min","HS_10min","Avg_total_number_of_HS","Avg_total_number_of_LM","Avg_total_number_of_bees","Duration_of_nest_opening_HS","Avg_duration_of_nest_guarding_LM","Avg_duration_of_nest_guarding_HS","Duration_of_nest_closing_HS","Incoming_frequency_LM","Outgoing_frequency_LM","Incoming_frequency_HS","Outgoing_frequency_HS","Thermochron_1","Thermochron_10","Thermochron_2","Thermochron_3","Thermochron_4","Thermochron_6","Thermochron_7","Thermochron_8","Thermochron_9","Avg_T_ambient","Avg_T_H_scab","Avg_T_L_mala","Avg_lux_light_logger"
"Sveta","Focal",2,3,"17/4",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,20.3166666666667,18,NA,24.5666666666667,NA,18.7166666666667,20.7333333333333,18,18,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,19.2666666666667,18,NA,20.3333333333333,NA,18,19.8666666666667,17.4666666666667,18,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",10,4,0,4,0,0,0,2,1,1,1,0,1,1,1,0,1.2,0.2,1.6,NA,NA,86,NA,2,1,1,1,24.0166666666667,15.2,NA,17.0833333333333,NA,14.1833333333333,15.5166666666667,14,15,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",11,0,0,0,2,2,0,3,0,3,1,0,1,2,1,1,1,0.6,1.6,NA,NA,51.6,NA,5,4,3,3,23.6333333333333,16.5166666666667,NA,21.5333333333333,NA,15.5666666666667,17.1166666666667,14,15.7166666666667,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",12,3,1,2,3,1,2,1,0,1,1,0,1,2,1,1,1.4,0.6,2,NA,NA,32,NA,1,1,1,0,22.4166666666667,17.6833333333333,NA,26.4833333333333,NA,16.7,18.45,14.9,16.65,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",13,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.2,0.4,0.6,NA,NA,NA,NA,0,0,0,0,22.4833333333333,18.7833333333333,NA,26.8833333333333,NA,17.9333333333333,20,16.3166666666667,17.6,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",14,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.4,0.2,0.4,NA,NA,333,NA,0,0,1,1,21.3166666666667,19.8333333333333,NA,28.45,NA,19.3333333333333,21.2,17.1,18.5833333333333,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",15,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0.6,0,0.6,NA,NA,170.5,NA,0,0,0,0,21.6666666666667,20,NA,29.8833333333333,NA,20,22,18,19.2,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,NA,NA,NA,NA,0,0,0,0,20.3166666666667,20,NA,30.4166666666667,NA,19.8666666666667,22,18,20,NA,NA,NA,NA
"Sveta","Focal",2,4,"18/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,20.4054054054054,19.3333333333333,NA,26.4186046511628,NA,19.1914893617021,20.9791666666667,17.6,19.9038461538462,NA,NA,NA,NA
"Sveta","Focal",2,5,"19/4",10,0,0,0,0,0,0,1,0,1,2,2,0,3,3,0,0.2,0.4,1.2,NA,NA,41.75,NA,3,3,1,1,27.9833333333333,13.8666666666667,30.4666666666667,16.45,17.1,13.2,15.7666666666667,12.4833333333333,13.6833333333333,NA,NA,NA,NA
"Sveta","Focal",2,5,"19/4",11,4,1,3,2,1,1,1,0,1,3,1,2,2,1,1,1.6,1.2,2.4,NA,NA,1162,NA,1,0,1,1,27.0333333333333,15.1,34.5,20.3166666666667,19.9833333333333,14.8333333333333,18.4,13.4833333333333,14.65,NA,NA,NA,NA
